

Pressure Hold Test Analysis
12-03-1992

Porous Materials, Inc.  Analytical Services Division
20 Dutch Mill Rd.
Ithaca, NY  14850  USA
PHONE 607.257.4267, 257.5544, or 1.800.825.5764
Email: info@pmiapp.com
www.pmiapp.com


GAS =	AIR
ABC Company
John Doe
File:	C:\Program Files\capwin\data\examples\PRESHOLD.CFT
Sample ID =	Sample 131b



Differential Pressure	Time               dP/dt
PSI	sec.              * 1E-3
---------------------	-----------------------------------------
20.110	6.26              0.00000
20.108	12.74             -0.29785
20.106	19.17             -0.30169
20.110	25.59              0.60263
20.112	32.02              0.30021
20.118	38.45              0.90359
20.125	44.82              1.21487
20.127	51.24              0.30075
20.122	57.67             -0.90210
20.127	64.04              0.91040
20.125	70.41             -0.30297
20.129	76.78              0.60631
20.129	83.15              0.00000
20.131	89.53              0.30409
20.131	95.90              0.00000
20.127	102.32             -0.60263
20.120	108.75             -1.20379
20.112	115.18             -1.20379
20.112	121.60              0.00000
20.108	128.03             -0.60042
20.108	134.46              0.00000
20.110	140.88              0.30075
20.108	147.31             -0.30021
20.116	153.73              1.20525
20.125	160.16              1.50400
20.127	166.59              0.30021
20.127	173.01              0.00000
20.131	179.44              0.60190
20.131	185.87              0.00000
20.129	192.29             -0.30206
20.124	198.72             -0.90210
20.131	205.14              1.20527
20.129	211.57             -0.30169
20.125	218.00             -0.60041
20.131	224.42              0.90375
20.125	230.85             -0.90210
20.125	237.28              0.00000
20.127	243.70              0.30057
20.125	250.13             -0.30021
20.125	256.55              0.00000
20.124	262.98             -0.30169
20.122	269.41             -0.30021
20.125	275.83              0.60300
20.124	282.26             -0.30169
20.127	288.69              0.60190
20.122	295.11             -0.90320
20.125	301.54              0.60190
20.127	307.97              0.30021
20.127	314.39              0.00000
20.133	320.82              0.90210
20.125	327.24             -1.20450
20.104	333.67             -3.30969
20.100	340.10             -0.60190
20.091	346.52             -1.50585
20.098	352.89              1.21487
20.098	359.27              0.00000
20.100	365.69              0.30075
20.102	372.12              0.30021
20.108	378.49              0.91189
20.108	384.86              0.00000
20.110	391.23              0.30297
20.112	397.60              0.30315
20.114	403.97              0.30446
20.116	410.35              0.30409
20.114	416.77             -0.30206
20.110	423.20             -0.60190
20.114	429.62              0.60299
20.114	436.05              0.00000
20.116	442.48              0.30169
20.118	448.90              0.30076
20.112	455.33             -0.90359
20.114	461.76              0.30169
20.118	468.18              0.60263
20.116	474.61             -0.30021
20.114	481.04             -0.30169
20.112	487.46             -0.30206
20.116	493.89              0.60338
20.120	500.31              0.60151
20.116	506.74             -0.60041
20.116	513.17              0.00000
20.112	519.59             -0.60413
20.124	526.02              1.80569
20.124	532.45              0.00000
20.129	538.87              0.90375
20.127	545.30             -0.30002
20.120	551.72             -1.20598
20.118	558.15             -0.30021
20.110	564.58             -1.20378
20.100	571.00             -1.50583
20.098	577.43             -0.30021
20.093	583.86             -0.90359
20.087	590.28             -0.90376
20.091	596.71              0.60153
20.093	603.13              0.30075
---------------------------------------------------------------------------
